Wanderungstyp,Jahr,Monat,Staatsangehoerigkeit,Geschlecht,Alter,VonKontinent,VonLand,VonKanton,VonWohnviertel,NachKontinent,NachLand,NachKanton,NachWohnviertel,year_month
Zuzug,2017,1,Schweizer,W,0,Schweiz,Schweiz,TI,NA,Schweiz,Schweiz,BS,Iselin,2017-1
Zuzug,2017,1,Ausländer,M,1,Europa (ohne Schweiz),Frankreich,Unbekannt,NA,Schweiz,Schweiz,BS,Altstadt Kleinbasel,2017-1
Zuzug,2017,1,Ausländer,W,1,Europa (ohne Schweiz),Deutschland,Unbekannt,NA,Schweiz,Schweiz,BS,Hirzbrunnen,2017-1
Zuzug,2017,1,Schweizer,M,1,Schweiz,Schweiz,ZH,NA,Schweiz,Schweiz,BS,Breite,2017-1
Zuzug,2017,1,Ausländer,M,1,Europa (ohne Schweiz),Russland,Unbekannt,NA,Schweiz,Schweiz,BS,Altstadt Kleinbasel,2017-1
Zuzug,2017,1,Ausländer,W,1,Asien,China,Unbekannt,NA,Schweiz,Schweiz,BS,St. Johann,2017-1
Zuzug,2017,1,Ausländer,M,1,Schweiz,Schweiz,ZH,NA,Schweiz,Schweiz,BS,Kleinhüningen,2017-1
Wegzug,2017,1,Ausländer,M,1,Schweiz,Schweiz,BS,Bachletten,Schweiz,Schweiz,BL,NA,2017-1
Wegzug,2017,1,Ausländer,M,1,Schweiz,Schweiz,BS,Am Ring,Schweiz,Schweiz,BL,NA,2017-1
Wegzug,2017,1,Ausländer,M,1,Schweiz,Schweiz,BS,Kleinhüningen,Europa (ohne Schweiz),Deutschland,Ausland,NA,2017-1
Wegzug,2017,1,Schweizer,W,1,Schweiz,Schweiz,BS,Rosental,Schweiz,Schweiz,BL,NA,2017-1
Wegzug,2017,1,Schweizer,W,1,Schweiz,Schweiz,BS,Bachletten,Schweiz,Schweiz,BL,NA,2017-1
Wegzug,2017,1,Schweizer,M,1,Schweiz,Schweiz,BS,Iselin,Schweiz,Schweiz,AG,NA,2017-1
