Wanderungstyp,Jahr,Monat,Staatsangehoerigkeit,Geschlecht,Alter,VonKontinent,VonLand,VonKanton,VonWohnviertel,NachKontinent,NachLand,NachKanton,NachWohnviertel,year_month
Wegzug,2013,2,Schweizer,M,0,Schweiz,Schweiz,BS,Breite,Europa (ohne Schweiz),Deutschland,Ausland,NA,2013-2
Zuzug,2013,2,Schweizer,M,0,Schweiz,Schweiz,ZH,NA,Schweiz,Schweiz,BS,Bachletten,2013-2
Wegzug,2013,2,Schweizer,M,0,Schweiz,Schweiz,BS,Gundeldingen,Schweiz,Schweiz,BL,NA,2013-2
Wegzug,2013,2,Schweizer,W,0,Schweiz,Schweiz,BS,Gundeldingen,Schweiz,Schweiz,BL,NA,2013-2
Wegzug,2013,2,Ausländer,M,1,Schweiz,Schweiz,BS,St. Johann,Schweiz,Schweiz,AG,NA,2013-2
Wegzug,2013,2,Schweizer,M,1,Schweiz,Schweiz,BS,Kleinhüningen,Schweiz,Schweiz,TI,NA,2013-2
Wegzug,2013,2,Ausländer,M,1,Schweiz,Schweiz,BS,Gundeldingen,Schweiz,Schweiz,BL,NA,2013-2
Wegzug,2013,2,Ausländer,W,1,Schweiz,Schweiz,BS,Rosental,Schweiz,Schweiz,BL,NA,2013-2
Wegzug,2013,2,Schweizer,M,1,Schweiz,Schweiz,BS,Gotthelf,Schweiz,Schweiz,AG,NA,2013-2
Wegzug,2013,2,Schweizer,M,1,Schweiz,Schweiz,BS,Gundeldingen,Europa (ohne Schweiz),Deutschland,Ausland,NA,2013-2
Wegzug,2013,2,Schweizer,M,1,Schweiz,Schweiz,BS,Clara,Schweiz,Schweiz,BL,NA,2013-2
Zuzug,2013,2,Ausländer,M,1,Europa (ohne Schweiz),Deutschland,Unbekannt,NA,Schweiz,Schweiz,BS,Riehen,2013-2
Zuzug,2013,2,Ausländer,M,1,Asien,Indien,Unbekannt,NA,Schweiz,Schweiz,BS,Matthäus,2013-2
Zuzug,2013,2,Ausländer,W,1,Asien,Indien,Unbekannt,NA,Schweiz,Schweiz,BS,Bachletten,2013-2
Zuzug,2013,2,Ausländer,W,1,Asien,Japan,Unbekannt,NA,Schweiz,Schweiz,BS,St. Johann,2013-2
Zuzug,2013,2,Schweizer,W,1,Nordamerika,Vereinigte Staaten von Amerika,Unbekannt,NA,Schweiz,Schweiz,BS,Matthäus,2013-2
Zuzug,2013,2,Ausländer,M,1,Europa (ohne Schweiz),Deutschland,Unbekannt,NA,Schweiz,Schweiz,BS,Am Ring,2013-2
Zuzug,2013,2,Ausländer,M,1,Asien,Indien,Unbekannt,NA,Schweiz,Schweiz,BS,Gundeldingen,2013-2
Zuzug,2013,2,Ausländer,M,1,Schweiz,Schweiz,ZH,NA,Schweiz,Schweiz,BS,Matthäus,2013-2
