Wanderungstyp,Jahr,Monat,Staatsangehoerigkeit,Geschlecht,Alter,VonKontinent,VonLand,VonKanton,VonWohnviertel,NachKontinent,NachLand,NachKanton,NachWohnviertel,year_month
Zuzug,2005,8,Ausländer,M,0,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,Gundeldingen,2005-8
Zuzug,2005,8,Ausländer,W,0,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Riehen,2005-8
Wegzug,2005,8,Schweizer,W,0,Schweiz,Schweiz,BS,Matthäus,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,M,0,Schweiz,Schweiz,BS,St. Johann,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,W,0,Schweiz,Schweiz,BS,Klybeck,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,W,0,Schweiz,Schweiz,BS,St. Johann,unbekannt,NA,NA,NA,2005-8
Zuzug,2005,8,Ausländer,W,0,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,St. Alban,2005-8
Zuzug,2005,8,Schweizer,W,0,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Breite,2005-8
Zuzug,2005,8,Ausländer,M,0,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Matthäus,2005-8
Zuzug,2005,8,Ausländer,W,0,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Gundeldingen,2005-8
Zuzug,2005,8,Ausländer,W,0,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Bruderholz,2005-8
Wegzug,2005,8,Schweizer,W,0,Schweiz,Schweiz,BS,Bachletten,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,W,0,Schweiz,Schweiz,BS,Hirzbrunnen,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,W,0,Schweiz,Schweiz,BS,Am Ring,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,W,0,Schweiz,Schweiz,BS,St. Alban,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,M,0,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2005-8
Zuzug,2005,8,Ausländer,W,1,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,Gundeldingen,2005-8
Zuzug,2005,8,Ausländer,W,1,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,Altstadt Grossbasel,2005-8
Zuzug,2005,8,Schweizer,W,1,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Matthäus,2005-8
Zuzug,2005,8,Ausländer,W,1,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Gundeldingen,2005-8
Zuzug,2005,8,Schweizer,M,1,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Bettingen,2005-8
Zuzug,2005,8,Ausländer,M,1,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,Altstadt Kleinbasel,2005-8
Wegzug,2005,8,Schweizer,M,1,Schweiz,Schweiz,BS,Riehen,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,W,1,Schweiz,Schweiz,BS,Iselin,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,W,1,Schweiz,Schweiz,BS,Breite,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,M,1,Schweiz,Schweiz,BS,Breite,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,M,1,Schweiz,Schweiz,BS,Matthäus,unbekannt,NA,NA,NA,2005-8
Zuzug,2005,8,Ausländer,M,1,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Riehen,2005-8
Zuzug,2005,8,Schweizer,M,1,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Breite,2005-8
Zuzug,2005,8,Ausländer,W,1,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Matthäus,2005-8
Zuzug,2005,8,Ausländer,W,1,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,St. Alban,2005-8
Zuzug,2005,8,Schweizer,W,1,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,St. Alban,2005-8
Zuzug,2005,8,Ausländer,M,1,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Matthäus,2005-8
Wegzug,2005,8,Ausländer,M,1,Schweiz,Schweiz,BS,Hirzbrunnen,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,W,1,Schweiz,Schweiz,BS,Bachletten,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,W,1,Schweiz,Schweiz,BS,Gotthelf,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,M,1,Schweiz,Schweiz,BS,Am Ring,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,W,1,Schweiz,Schweiz,BS,Iselin,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,M,1,Schweiz,Schweiz,BS,Am Ring,unbekannt,NA,NA,NA,2005-8
Zuzug,2005,8,Ausländer,W,2,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,St. Alban,2005-8
Zuzug,2005,8,Ausländer,W,2,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Matthäus,2005-8
Zuzug,2005,8,Ausländer,M,2,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Gundeldingen,2005-8
Zuzug,2005,8,Schweizer,M,2,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Wettstein,2005-8
Wegzug,2005,8,Schweizer,W,2,Schweiz,Schweiz,BS,Riehen,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,W,2,Schweiz,Schweiz,BS,Clara,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,W,2,Schweiz,Schweiz,BS,Hirzbrunnen,unbekannt,NA,NA,NA,2005-8
Zuzug,2005,8,Schweizer,W,2,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Hirzbrunnen,2005-8
Zuzug,2005,8,Schweizer,W,2,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Iselin,2005-8
Zuzug,2005,8,Ausländer,M,2,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,St. Alban,2005-8
Zuzug,2005,8,Schweizer,W,2,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Bruderholz,2005-8
Zuzug,2005,8,Schweizer,W,2,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Wettstein,2005-8
Zuzug,2005,8,Ausländer,M,2,Nordamerika,NA,NA,NA,Schweiz,Schweiz,BS,St. Alban,2005-8
Zuzug,2005,8,Schweizer,W,2,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Bettingen,2005-8
Wegzug,2005,8,Schweizer,M,2,Schweiz,Schweiz,BS,Riehen,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,M,2,Schweiz,Schweiz,BS,Breite,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,M,2,Schweiz,Schweiz,BS,Iselin,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,W,2,Schweiz,Schweiz,BS,Matthäus,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,W,2,Schweiz,Schweiz,BS,St. Alban,unbekannt,NA,NA,NA,2005-8
Zuzug,2005,8,Ausländer,W,3,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Gundeldingen,2005-8
Zuzug,2005,8,Ausländer,M,3,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Bruderholz,2005-8
Wegzug,2005,8,Schweizer,W,3,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,M,3,Schweiz,Schweiz,BS,Rosental,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,M,3,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,W,3,Schweiz,Schweiz,BS,St. Johann,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,W,3,Schweiz,Schweiz,BS,St. Alban,unbekannt,NA,NA,NA,2005-8
Zuzug,2005,8,Ausländer,W,3,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,Riehen,2005-8
Zuzug,2005,8,Ausländer,M,3,Nordamerika,NA,NA,NA,Schweiz,Schweiz,BS,Rosental,2005-8
Zuzug,2005,8,Ausländer,M,3,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Riehen,2005-8
Zuzug,2005,8,Ausländer,W,3,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Bruderholz,2005-8
Zuzug,2005,8,Ausländer,M,3,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Bruderholz,2005-8
Zuzug,2005,8,Ausländer,M,3,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,St. Alban,2005-8
Wegzug,2005,8,Schweizer,W,3,Schweiz,Schweiz,BS,Breite,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,W,3,Schweiz,Schweiz,BS,St. Alban,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,W,3,Schweiz,Schweiz,BS,Hirzbrunnen,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,M,3,Schweiz,Schweiz,BS,St. Alban,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,M,3,Schweiz,Schweiz,BS,Riehen,unbekannt,NA,NA,NA,2005-8
Zuzug,2005,8,Ausländer,M,4,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,St. Johann,2005-8
Zuzug,2005,8,Ausländer,W,4,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,Wettstein,2005-8
Zuzug,2005,8,Ausländer,W,4,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Rosental,2005-8
Zuzug,2005,8,Ausländer,W,4,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Wettstein,2005-8
Zuzug,2005,8,Schweizer,W,4,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Bachletten,2005-8
Wegzug,2005,8,Schweizer,W,4,Schweiz,Schweiz,BS,Riehen,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,M,4,Schweiz,Schweiz,BS,Bettingen,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,M,4,Schweiz,Schweiz,BS,Gotthelf,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Schweizer,M,4,Schweiz,Schweiz,BS,Clara,unbekannt,NA,NA,NA,2005-8
Zuzug,2005,8,Ausländer,M,4,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,St. Alban,2005-8
Zuzug,2005,8,Ausländer,W,4,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Altstadt Kleinbasel,2005-8
Zuzug,2005,8,Ausländer,W,4,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,St. Alban,2005-8
Zuzug,2005,8,Schweizer,M,4,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,St. Alban,2005-8
Zuzug,2005,8,Ausländer,W,4,Nordamerika,NA,NA,NA,Schweiz,Schweiz,BS,Riehen,2005-8
Zuzug,2005,8,Ausländer,M,4,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,Matthäus,2005-8
Zuzug,2005,8,Ausländer,W,4,Nordamerika,NA,NA,NA,Schweiz,Schweiz,BS,Matthäus,2005-8
Zuzug,2005,8,Ausländer,M,4,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,St. Johann,2005-8
Zuzug,2005,8,Ausländer,M,4,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Iselin,2005-8
Zuzug,2005,8,Schweizer,W,4,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Wettstein,2005-8
Wegzug,2005,8,Schweizer,W,4,Schweiz,Schweiz,BS,Bruderholz,unbekannt,NA,NA,NA,2005-8
Zuzug,2005,8,Ausländer,M,5,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,St. Johann,2005-8
Zuzug,2005,8,Schweizer,M,5,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Hirzbrunnen,2005-8
Zuzug,2005,8,Ausländer,W,5,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Breite,2005-8
Zuzug,2005,8,Ausländer,M,5,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,Riehen,2005-8
Wegzug,2005,8,Ausländer,W,5,Schweiz,Schweiz,BS,Breite,unbekannt,NA,NA,NA,2005-8
Wegzug,2005,8,Ausländer,M,5,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2005-8
