Wanderungstyp,Jahr,Monat,Staatsangehoerigkeit,Geschlecht,Alter,VonKontinent,VonLand,VonKanton,VonWohnviertel,NachKontinent,NachLand,NachKanton,NachWohnviertel,year_month
Wegzug,2013,4,Ausländer,M,0,Schweiz,Schweiz,BS,Gundeldingen,Europa (ohne Schweiz),Deutschland,Ausland,NA,2013-4
Zuzug,2013,4,Schweizer,W,0,Schweiz,Schweiz,ZH,NA,Schweiz,Schweiz,BS,St. Johann,2013-4
Zuzug,2013,4,Schweizer,M,0,Schweiz,Schweiz,BL,NA,Schweiz,Schweiz,BS,Gundeldingen,2013-4
Zuzug,2013,4,Ausländer,W,0,Asien,Indien,Unbekannt,NA,Schweiz,Schweiz,BS,Rosental,2013-4
Wegzug,2013,4,Ausländer,W,0,Schweiz,Schweiz,BS,Breite,Europa (ohne Schweiz),Oesterreich,Ausland,NA,2013-4
Wegzug,2013,4,Ausländer,M,0,Schweiz,Schweiz,BS,Bruderholz,Europa (ohne Schweiz),Grossbritannien,Ausland,NA,2013-4
Wegzug,2013,4,Ausländer,M,0,Schweiz,Schweiz,BS,Gundeldingen,Europa (ohne Schweiz),Deutschland,Ausland,NA,2013-4
Wegzug,2013,4,Schweizer,M,1,Schweiz,Schweiz,BS,Breite,Lateinamerika und Karibik,Kuba,Ausland,NA,2013-4
Wegzug,2013,4,Schweizer,W,1,Schweiz,Schweiz,BS,Bachletten,Schweiz,Schweiz,BL,NA,2013-4
Wegzug,2013,4,Ausländer,M,1,Schweiz,Schweiz,BS,Iselin,Asien,Pakistan,Ausland,NA,2013-4
Wegzug,2013,4,Schweizer,M,1,Schweiz,Schweiz,BS,Gundeldingen,Schweiz,Schweiz,BL,NA,2013-4
Wegzug,2013,4,Schweizer,M,1,Schweiz,Schweiz,BS,Riehen,Schweiz,Schweiz,BL,NA,2013-4
Wegzug,2013,4,Schweizer,W,1,Schweiz,Schweiz,BS,Wettstein,Schweiz,Schweiz,ZG,NA,2013-4
Wegzug,2013,4,Schweizer,W,1,Schweiz,Schweiz,BS,Rosental,Schweiz,Schweiz,BL,NA,2013-4
Zuzug,2013,4,Ausländer,W,1,Schweiz,Schweiz,ZH,NA,Schweiz,Schweiz,BS,Riehen,2013-4
Zuzug,2013,4,Ausländer,W,1,Europa (ohne Schweiz),Spanien,Unbekannt,NA,Schweiz,Schweiz,BS,St. Johann,2013-4
Zuzug,2013,4,Schweizer,M,1,Lateinamerika und Karibik,El Salvador,Unbekannt,NA,Schweiz,Schweiz,BS,Am Ring,2013-4
Zuzug,2013,4,Ausländer,W,1,Lateinamerika und Karibik,Brasilien,Unbekannt,NA,Schweiz,Schweiz,BS,St. Johann,2013-4
Zuzug,2013,4,Schweizer,W,1,Afrika,Kamerun,Unbekannt,NA,Schweiz,Schweiz,BS,Iselin,2013-4
