Wanderungstyp,Jahr,Monat,Staatsangehoerigkeit,Geschlecht,Alter,VonKontinent,VonLand,VonKanton,VonWohnviertel,NachKontinent,NachLand,NachKanton,NachWohnviertel,Jahr_Monat
Zuzug,2021,12,Ausländer,M,0,Schweiz,Schweiz,BE,NA,Schweiz,Schweiz,BS,Vorstädte,2021-12
Zuzug,2021,12,Ausländer,M,0,Europa (ohne Schweiz),Deutschland,Unbekannt,NA,Schweiz,Schweiz,BS,Breite,2021-12
Zuzug,2021,12,Ausländer,M,0,Europa (ohne Schweiz),Spanien,Unbekannt,NA,Schweiz,Schweiz,BS,Kleinhüningen,2021-12
Wegzug,2021,12,Schweizer,M,0,Schweiz,Schweiz,BS,Gundeldingen,Schweiz,Schweiz,BL,NA,2021-12
Wegzug,2021,12,Schweizer,M,0,Schweiz,Schweiz,BS,Gundeldingen,Schweiz,Schweiz,BL,NA,2021-12
Wegzug,2021,12,Schweizer,M,0,Schweiz,Schweiz,BS,Gundeldingen,Schweiz,Schweiz,BL,NA,2021-12
Wegzug,2021,12,Ausländer,W,0,Schweiz,Schweiz,BS,Wettstein,Schweiz,Schweiz,BL,NA,2021-12
Wegzug,2021,12,Schweizer,W,0,Schweiz,Schweiz,BS,Bachletten,Schweiz,Schweiz,ZH,NA,2021-12
Wegzug,2021,12,Ausländer,M,0,Schweiz,Schweiz,BS,Rosental,Asien,Singapur,Ausland,NA,2021-12
Wegzug,2021,12,Schweizer,W,0,Schweiz,Schweiz,BS,St. Johann,Schweiz,Schweiz,SO,NA,2021-12
Wegzug,2021,12,Schweizer,W,0,Schweiz,Schweiz,BS,Gundeldingen,Schweiz,Schweiz,BL,NA,2021-12
Wegzug,2021,12,Schweizer,W,0,Schweiz,Schweiz,BS,Matthäus,Schweiz,Schweiz,BL,NA,2021-12
Wegzug,2021,12,Ausländer,M,0,Schweiz,Schweiz,BS,Bruderholz,Schweiz,Schweiz,BL,NA,2021-12
Wegzug,2021,12,Ausländer,W,0,Schweiz,Schweiz,BS,Iselin,Schweiz,Schweiz,SG,NA,2021-12
Wegzug,2021,12,Ausländer,M,0,Schweiz,Schweiz,BS,Iselin,Schweiz,Schweiz,BL,NA,2021-12
Wegzug,2021,12,Ausländer,W,0,Schweiz,Schweiz,BS,Am Ring,Schweiz,Schweiz,VD,NA,2021-12
Wegzug,2021,12,Schweizer,M,0,Schweiz,Schweiz,BS,Bachletten,Schweiz,Schweiz,LU,NA,2021-12
Zuzug,2021,12,Ausländer,W,0,Asien,Vereinigte Arabische Emirate,Unbekannt,NA,Schweiz,Schweiz,BS,St. Alban,2021-12
Zuzug,2021,12,Ausländer,M,0,Asien,Indien,Unbekannt,NA,Schweiz,Schweiz,BS,Vorstädte,2021-12
Zuzug,2021,12,Ausländer,W,0,Schweiz,Schweiz,BL,NA,Schweiz,Schweiz,BS,Clara,2021-12
Zuzug,2021,12,Ausländer,M,0,Europa (ohne Schweiz),Ungarn,Unbekannt,NA,Schweiz,Schweiz,BS,Breite,2021-12
Zuzug,2021,12,Schweizer,W,0,Europa (ohne Schweiz),Deutschland,Unbekannt,NA,Schweiz,Schweiz,BS,Riehen,2021-12
Wegzug,2021,12,Ausländer,W,0,Schweiz,Schweiz,BS,Gundeldingen,Schweiz,Schweiz,BL,NA,2021-12
Wegzug,2021,12,Schweizer,W,0,Schweiz,Schweiz,BS,Wettstein,Schweiz,Schweiz,BL,NA,2021-12
Wegzug,2021,12,Schweizer,W,0,Schweiz,Schweiz,BS,Gundeldingen,Schweiz,Schweiz,BL,NA,2021-12
Wegzug,2021,12,Schweizer,W,0,Schweiz,Schweiz,BS,Rosental,Schweiz,Schweiz,BL,NA,2021-12
Wegzug,2021,12,Ausländer,M,1,Schweiz,Schweiz,BS,Gundeldingen,Europa (ohne Schweiz),Deutschland,Ausland,NA,2021-12
Wegzug,2021,12,Schweizer,M,1,Schweiz,Schweiz,BS,Rosental,Schweiz,Schweiz,BL,NA,2021-12
Wegzug,2021,12,Ausländer,M,1,Schweiz,Schweiz,BS,Am Ring,Nordamerika,Vereinigte Staaten von Amerika,Ausland,NA,2021-12
Wegzug,2021,12,Ausländer,M,1,Schweiz,Schweiz,BS,Riehen,Lateinamerika und Karibik,Panama,Ausland,NA,2021-12
Wegzug,2021,12,Schweizer,W,1,Schweiz,Schweiz,BS,Bachletten,Schweiz,Schweiz,JU,NA,2021-12
Wegzug,2021,12,Ausländer,W,1,Schweiz,Schweiz,BS,Am Ring,Nordamerika,Vereinigte Staaten von Amerika,Ausland,NA,2021-12
Zuzug,2021,12,Ausländer,W,1,Lateinamerika und Karibik,Dominikanische Republik,Unbekannt,NA,Schweiz,Schweiz,BS,Iselin,2021-12
Zuzug,2021,12,Ausländer,M,1,Asien,Afghanistan,Unbekannt,NA,Schweiz,Schweiz,BS,St. Alban,2021-12
Zuzug,2021,12,Schweizer,M,1,Europa (ohne Schweiz),Deutschland,Unbekannt,NA,Schweiz,Schweiz,BS,Matthäus,2021-12
Zuzug,2021,12,Schweizer,W,1,Schweiz,Schweiz,BL,NA,Schweiz,Schweiz,BS,Bachletten,2021-12
Zuzug,2021,12,Ausländer,M,1,Schweiz,Schweiz,VD,NA,Schweiz,Schweiz,BS,Am Ring,2021-12
Wegzug,2021,12,Schweizer,W,1,Schweiz,Schweiz,BS,Bachletten,Schweiz,Schweiz,BL,NA,2021-12
Wegzug,2021,12,Ausländer,M,2,Schweiz,Schweiz,BS,Breite,Europa (ohne Schweiz),Spanien,Ausland,NA,2021-12
Wegzug,2021,12,Schweizer,M,2,Schweiz,Schweiz,BS,St. Johann,Lateinamerika und Karibik,Brasilien,Ausland,NA,2021-12
