JahrMonat,Wanderungstyp,Jahr,Monat,Staatsangehoerigkeit,Geschlecht,Alter,VonKontinent,VonLand,VonKanton,VonWohnviertel,NachKontinent,NachLand,NachKanton,NachWohnviertel,StartKarte,StartRegion,EndKarte,EndRegion
2013-7,Wegzug,2013,7,Ausländer,M,0,Schweiz,Schweiz,BS,St. Alban,Schweiz,Schweiz,AG,NA,basel,St. Alban,switzerland,Aargau
2013-7,Wegzug,2013,7,Schweizer,W,0,Schweiz,Schweiz,BS,Iselin,Europa (ohne Schweiz),Türkei,Ausland,NA,basel,Iselin,world,Turkey
2013-7,Wegzug,2013,7,Ausländer,M,0,Schweiz,Schweiz,BS,Rosental,Asien,China,Ausland,NA,basel,Rosental,world,China
2013-7,Wegzug,2013,7,Ausländer,W,0,Schweiz,Schweiz,BS,Bruderholz,Schweiz,Schweiz,BL,NA,basel,Bruderholz,switzerland,Basel-Landschaft
2013-7,Zuzug,2013,7,Ausländer,M,0,Europa (ohne Schweiz),Deutschland,NA,NA,Schweiz,Schweiz,BS,Breite,europe,Germany,basel,Breite
2013-7,Zuzug,2013,7,Schweizer,W,0,Asien,Israel,NA,NA,Schweiz,Schweiz,BS,Gotthelf,world,Israel,basel,Gotthelf
2013-7,Wegzug,2013,7,Ausländer,W,0,Schweiz,Schweiz,BS,St. Johann,Europa (ohne Schweiz),Deutschland,Ausland,NA,basel,St. Johann,europe,Germany
2013-7,Wegzug,2013,7,Ausländer,M,0,Schweiz,Schweiz,BS,Rosental,Schweiz,Schweiz,VD,NA,basel,Rosental,switzerland,Vaud
2013-7,Wegzug,2013,7,Schweizer,M,0,Schweiz,Schweiz,BS,Bettingen,Schweiz,Schweiz,ZH,NA,basel,Bettingen,switzerland,Zürich
2013-7,Wegzug,2013,7,Ausländer,M,0,Schweiz,Schweiz,BS,Iselin,Asien,Japan,Ausland,NA,basel,Iselin,world,Japan
2013-7,Wegzug,2013,7,Ausländer,W,0,Schweiz,Schweiz,BS,St. Johann,Schweiz,Schweiz,AG,NA,basel,St. Johann,switzerland,Aargau
2013-7,Wegzug,2013,7,Ausländer,M,0,Schweiz,Schweiz,BS,Matthäus,Europa (ohne Schweiz),Deutschland,Ausland,NA,basel,Matthäus,europe,Germany
2013-7,Zuzug,2013,7,Schweizer,M,0,Schweiz,Schweiz,ZH,NA,Schweiz,Schweiz,BS,Bruderholz,switzerland,Zürich,basel,Bruderholz
2013-7,Zuzug,2013,7,Ausländer,W,0,Europa (ohne Schweiz),Deutschland,NA,NA,Schweiz,Schweiz,BS,Bruderholz,europe,Germany,basel,Bruderholz
2013-7,Zuzug,2013,7,Schweizer,M,0,Schweiz,Schweiz,BL,NA,Schweiz,Schweiz,BS,St. Johann,switzerland,Basel-Landschaft,basel,St. Johann
2013-7,Zuzug,2013,7,Schweizer,M,0,Europa (ohne Schweiz),Grossbritannien,NA,NA,Schweiz,Schweiz,BS,Bachletten,europe,United Kingdom,basel,Bachletten
2013-7,Wegzug,2013,7,Ausländer,W,0,Schweiz,Schweiz,BS,Bruderholz,Europa (ohne Schweiz),Deutschland,Ausland,NA,basel,Bruderholz,europe,Germany
2013-7,Wegzug,2013,7,Ausländer,W,0,Schweiz,Schweiz,BS,Iselin,Lateinamerika und Karibik,Uruguay,Ausland,NA,basel,Iselin,world,Uruguay
2013-7,Wegzug,2013,7,Schweizer,M,0,Schweiz,Schweiz,BS,Bachletten,Schweiz,Schweiz,BL,NA,basel,Bachletten,switzerland,Basel-Landschaft
2013-7,Wegzug,2013,7,Ausländer,M,0,Schweiz,Schweiz,BS,St. Johann,Europa (ohne Schweiz),Frankreich,Ausland,NA,basel,St. Johann,europe,France
2013-7,Wegzug,2013,7,Schweizer,M,0,Schweiz,Schweiz,BS,St. Johann,Europa (ohne Schweiz),Norwegen,Ausland,NA,basel,St. Johann,europe,Norway
2013-7,Zuzug,2013,7,Schweizer,W,0,Europa (ohne Schweiz),Deutschland,NA,NA,Schweiz,Schweiz,BS,Gundeldingen,europe,Germany,basel,Gundeldingen
2013-7,Zuzug,2013,7,Schweizer,M,0,Europa (ohne Schweiz),Frankreich,NA,NA,Schweiz,Schweiz,BS,Bachletten,europe,France,basel,Bachletten
2013-7,Wegzug,2013,7,Schweizer,W,1,Schweiz,Schweiz,BS,St. Alban,Schweiz,Schweiz,BL,NA,basel,St. Alban,switzerland,Basel-Landschaft
2013-7,Wegzug,2013,7,Ausländer,M,1,Schweiz,Schweiz,BS,Iselin,Schweiz,Schweiz,BL,NA,basel,Iselin,switzerland,Basel-Landschaft
2013-7,Zuzug,2013,7,Ausländer,M,1,Asien,Indien,NA,NA,Schweiz,Schweiz,BS,Clara,world,India,basel,Clara
2013-7,Zuzug,2013,7,Ausländer,W,1,Europa (ohne Schweiz),Deutschland,NA,NA,Schweiz,Schweiz,BS,Bachletten,europe,Germany,basel,Bachletten
2013-7,Zuzug,2013,7,Ausländer,W,1,Europa (ohne Schweiz),Portugal,NA,NA,Schweiz,Schweiz,BS,Matthäus,europe,Portugal,basel,Matthäus
2013-7,Zuzug,2013,7,Schweizer,M,1,Schweiz,Schweiz,BE,NA,Schweiz,Schweiz,BS,Gundeldingen,switzerland,Bern,basel,Gundeldingen
2013-7,Zuzug,2013,7,Ausländer,M,1,Asien,Indien,NA,NA,Schweiz,Schweiz,BS,Matthäus,world,India,basel,Matthäus
2013-7,Zuzug,2013,7,Schweizer,M,1,Europa (ohne Schweiz),Grossbritannien,NA,NA,Schweiz,Schweiz,BS,Iselin,europe,United Kingdom,basel,Iselin
2013-7,Zuzug,2013,7,Ausländer,W,1,Asien,Indien,NA,NA,Schweiz,Schweiz,BS,St. Alban,world,India,basel,St. Alban
2013-7,Zuzug,2013,7,Schweizer,W,1,Schweiz,Schweiz,AG,NA,Schweiz,Schweiz,BS,Riehen,switzerland,Aargau,basel,Riehen
2013-7,Zuzug,2013,7,Ausländer,W,1,Asien,Indien,NA,NA,Schweiz,Schweiz,BS,Rosental,world,India,basel,Rosental
2013-7,Zuzug,2013,7,Ausländer,M,1,Asien,China,NA,NA,Schweiz,Schweiz,BS,Iselin,world,China,basel,Iselin
2013-7,Zuzug,2013,7,Ausländer,W,1,Europa (ohne Schweiz),Deutschland,NA,NA,Schweiz,Schweiz,BS,Bachletten,europe,Germany,basel,Bachletten
2013-7,Zuzug,2013,7,Ausländer,W,1,Nordamerika,Vereinigte Staaten von Amerika,NA,NA,Schweiz,Schweiz,BS,Rosental,world,United States of America,basel,Rosental
2013-7,Wegzug,2013,7,Ausländer,W,1,Schweiz,Schweiz,BS,Gundeldingen,Asien,Indien,Ausland,NA,basel,Gundeldingen,world,India
2013-7,Wegzug,2013,7,Ausländer,M,1,Schweiz,Schweiz,BS,St. Alban,Schweiz,Schweiz,BL,NA,basel,St. Alban,switzerland,Basel-Landschaft
2013-7,Wegzug,2013,7,Schweizer,W,1,Schweiz,Schweiz,BS,Riehen,Asien,Singapur,Ausland,NA,basel,Riehen,world,Malaysia
2013-7,Wegzug,2013,7,Ausländer,M,1,Schweiz,Schweiz,BS,Bruderholz,Nordamerika,Vereinigte Staaten von Amerika,Ausland,NA,basel,Bruderholz,world,United States of America
2013-7,Zuzug,2013,7,Ausländer,M,1,Nordamerika,Vereinigte Staaten von Amerika,NA,NA,Schweiz,Schweiz,BS,Iselin,world,United States of America,basel,Iselin
2013-7,Zuzug,2013,7,Ausländer,W,1,Europa (ohne Schweiz),Deutschland,NA,NA,Schweiz,Schweiz,BS,Matthäus,europe,Germany,basel,Matthäus
2013-7,Zuzug,2013,7,Ausländer,W,1,Schweiz,Schweiz,AG,NA,Schweiz,Schweiz,BS,Bruderholz,switzerland,Aargau,basel,Bruderholz
2013-7,Zuzug,2013,7,Schweizer,M,1,Schweiz,Schweiz,ZG,NA,Schweiz,Schweiz,BS,Iselin,switzerland,Zug,basel,Iselin
2013-7,Zuzug,2013,7,Schweizer,W,1,Schweiz,Schweiz,BL,NA,Schweiz,Schweiz,BS,Matthäus,switzerland,Basel-Landschaft,basel,Matthäus
2013-7,Zuzug,2013,7,Ausländer,W,1,Europa (ohne Schweiz),Deutschland,NA,NA,Schweiz,Schweiz,BS,Clara,europe,Germany,basel,Clara
2013-7,Zuzug,2013,7,Schweizer,W,1,Asien,China,NA,NA,Schweiz,Schweiz,BS,Matthäus,world,China,basel,Matthäus
2013-7,Zuzug,2013,7,Ausländer,M,1,Europa (ohne Schweiz),Spanien,NA,NA,Schweiz,Schweiz,BS,Rosental,europe,Spain,basel,Rosental
2013-7,Zuzug,2013,7,Ausländer,M,1,Europa (ohne Schweiz),Deutschland,NA,NA,Schweiz,Schweiz,BS,Bruderholz,europe,Germany,basel,Bruderholz
2013-7,Zuzug,2013,7,Ausländer,M,1,Nordamerika,Vereinigte Staaten von Amerika,NA,NA,Schweiz,Schweiz,BS,Altstadt Grossbasel,world,United States of America,basel,Altstadt Grossbasel
2013-7,Wegzug,2013,7,Ausländer,W,1,Schweiz,Schweiz,BS,Clara,NA,NA,NA,NA,basel,Clara,NA,NA
2013-7,Wegzug,2013,7,Ausländer,W,1,Schweiz,Schweiz,BS,Matthäus,Schweiz,Schweiz,AG,NA,basel,Matthäus,switzerland,Aargau
2013-7,Wegzug,2013,7,Ausländer,W,1,Schweiz,Schweiz,BS,Breite,Europa (ohne Schweiz),Frankreich,Ausland,NA,basel,Breite,europe,France
2013-7,Wegzug,2013,7,Ausländer,W,1,Schweiz,Schweiz,BS,St. Johann,Schweiz,Schweiz,BL,NA,basel,St. Johann,switzerland,Basel-Landschaft
2013-7,Wegzug,2013,7,Schweizer,M,1,Schweiz,Schweiz,BS,Gundeldingen,Schweiz,Schweiz,BL,NA,basel,Gundeldingen,switzerland,Basel-Landschaft
2013-7,Wegzug,2013,7,Schweizer,W,1,Schweiz,Schweiz,BS,Am Ring,Schweiz,Schweiz,AG,NA,basel,Am Ring,switzerland,Aargau
2013-7,Wegzug,2013,7,Ausländer,M,1,Schweiz,Schweiz,BS,Gundeldingen,Asien,Indien,Ausland,NA,basel,Gundeldingen,world,India
2013-7,Zuzug,2013,7,Ausländer,M,1,Nordamerika,Vereinigte Staaten von Amerika,NA,NA,Schweiz,Schweiz,BS,Hirzbrunnen,world,United States of America,basel,Hirzbrunnen
2013-7,Zuzug,2013,7,Schweizer,M,1,Schweiz,Schweiz,ZG,NA,Schweiz,Schweiz,BS,Riehen,switzerland,Zug,basel,Riehen
2013-7,Zuzug,2013,7,Schweizer,M,1,Schweiz,Schweiz,AG,NA,Schweiz,Schweiz,BS,Gundeldingen,switzerland,Aargau,basel,Gundeldingen
2013-7,Zuzug,2013,7,Schweizer,W,1,Europa (ohne Schweiz),Grossbritannien,NA,NA,Schweiz,Schweiz,BS,Gundeldingen,europe,United Kingdom,basel,Gundeldingen
2013-7,Zuzug,2013,7,Ausländer,W,1,Nordamerika,Vereinigte Staaten von Amerika,NA,NA,Schweiz,Schweiz,BS,Breite,world,United States of America,basel,Breite
2013-7,Zuzug,2013,7,Schweizer,M,1,Europa (ohne Schweiz),Deutschland,NA,NA,Schweiz,Schweiz,BS,Riehen,europe,Germany,basel,Riehen
2013-7,Zuzug,2013,7,Ausländer,W,1,Europa (ohne Schweiz),Deutschland,NA,NA,Schweiz,Schweiz,BS,Rosental,europe,Germany,basel,Rosental
2013-7,Zuzug,2013,7,Ausländer,M,1,Afrika,Nigeria,NA,NA,Schweiz,Schweiz,BS,Wettstein,world,Nigeria,basel,Wettstein
2013-7,Zuzug,2013,7,Schweizer,M,1,Schweiz,Schweiz,ZG,NA,Schweiz,Schweiz,BS,Riehen,switzerland,Zug,basel,Riehen
2013-7,Wegzug,2013,7,Ausländer,M,2,Schweiz,Schweiz,BS,Gundeldingen,Schweiz,Schweiz,TG,NA,basel,Gundeldingen,switzerland,Thurgau
2013-7,Wegzug,2013,7,Ausländer,M,2,Schweiz,Schweiz,BS,Iselin,Lateinamerika und Karibik,Uruguay,Ausland,NA,basel,Iselin,world,Uruguay
2013-7,Wegzug,2013,7,Ausländer,M,2,Schweiz,Schweiz,BS,Hirzbrunnen,Europa (ohne Schweiz),Deutschland,Ausland,NA,basel,Hirzbrunnen,europe,Germany
2013-7,Wegzug,2013,7,Ausländer,W,2,Schweiz,Schweiz,BS,Iselin,Schweiz,Schweiz,BL,NA,basel,Iselin,switzerland,Basel-Landschaft
2013-7,Wegzug,2013,7,Ausländer,W,2,Schweiz,Schweiz,BS,Bettingen,Europa (ohne Schweiz),Grossbritannien,Ausland,NA,basel,Bettingen,europe,United Kingdom
2013-7,Wegzug,2013,7,Schweizer,W,2,Schweiz,Schweiz,BS,Matthäus,Asien,Kambodscha,Ausland,NA,basel,Matthäus,world,Cambodia
2013-7,Wegzug,2013,7,Schweizer,W,2,Schweiz,Schweiz,BS,Am Ring,Schweiz,Schweiz,BL,NA,basel,Am Ring,switzerland,Basel-Landschaft
2013-7,Zuzug,2013,7,Ausländer,W,2,Schweiz,Schweiz,AG,NA,Schweiz,Schweiz,BS,Riehen,switzerland,Aargau,basel,Riehen
2013-7,Zuzug,2013,7,Ausländer,W,2,Europa (ohne Schweiz),Portugal,NA,NA,Schweiz,Schweiz,BS,Matthäus,europe,Portugal,basel,Matthäus
2013-7,Zuzug,2013,7,Schweizer,W,2,Lateinamerika und Karibik,Mexiko,NA,NA,Schweiz,Schweiz,BS,Wettstein,world,Mexico,basel,Wettstein
2013-7,Zuzug,2013,7,Ausländer,W,2,Asien,Indien,NA,NA,Schweiz,Schweiz,BS,Rosental,world,India,basel,Rosental
2013-7,Zuzug,2013,7,Ausländer,M,2,Asien,Indien,NA,NA,Schweiz,Schweiz,BS,Matthäus,world,India,basel,Matthäus
