JahrMonat,Wanderungstyp,Jahr,Monat,Staatsangehoerigkeit,Geschlecht,Alter,VonKontinent,VonLand,VonKanton,VonWohnviertel,NachKontinent,NachLand,NachKanton,NachWohnviertel,StartKarte,StartRegion,EndKarte,EndRegion
2008-2,Zuzug,2008,2,Ausländer,M,0,Schweiz,Schweiz,VD,NA,Schweiz,Schweiz,BS,Gundeldingen,switzerland,Vaud,basel,Gundeldingen
2008-2,Zuzug,2008,2,Schweizer,W,0,Schweiz,Schweiz,ZH,NA,Schweiz,Schweiz,BS,Bachletten,switzerland,Zürich,basel,Bachletten
2008-2,Wegzug,2008,2,Schweizer,W,0,Schweiz,Schweiz,BS,Breite,Schweiz,Schweiz,SG,NA,basel,Breite,switzerland,St. Gallen
2008-2,Wegzug,2008,2,Ausländer,M,1,Schweiz,Schweiz,BS,St. Johann,Schweiz,Schweiz,ZH,NA,basel,St. Johann,switzerland,Zürich
2008-2,Wegzug,2008,2,Ausländer,M,1,Schweiz,Schweiz,BS,Wettstein,Schweiz,Schweiz,BL,NA,basel,Wettstein,switzerland,Basel-Landschaft
2008-2,Wegzug,2008,2,Schweizer,W,1,Schweiz,Schweiz,BS,Clara,Schweiz,Schweiz,BL,NA,basel,Clara,switzerland,Basel-Landschaft
2008-2,Zuzug,2008,2,Schweizer,W,1,Schweiz,Schweiz,LU,NA,Schweiz,Schweiz,BS,Iselin,switzerland,Luzern,basel,Iselin
2008-2,Zuzug,2008,2,Ausländer,M,1,Europa (ohne Schweiz),Italien,NA,NA,Schweiz,Schweiz,BS,Am Ring,europe,Italy,basel,Am Ring
2008-2,Zuzug,2008,2,Ausländer,W,1,Europa (ohne Schweiz),Polen,NA,NA,Schweiz,Schweiz,BS,Gotthelf,europe,Poland,basel,Gotthelf
2008-2,Zuzug,2008,2,Schweizer,M,1,Schweiz,Schweiz,SO,NA,Schweiz,Schweiz,BS,Breite,switzerland,Solothurn,basel,Breite
2008-2,Zuzug,2008,2,Schweizer,W,1,Schweiz,Schweiz,ZH,NA,Schweiz,Schweiz,BS,Am Ring,switzerland,Zürich,basel,Am Ring
2008-2,Wegzug,2008,2,Ausländer,M,1,Schweiz,Schweiz,BS,St. Johann,Schweiz,Schweiz,BL,NA,basel,St. Johann,switzerland,Basel-Landschaft
2008-2,Wegzug,2008,2,Ausländer,W,1,Schweiz,Schweiz,BS,Gotthelf,Europa (ohne Schweiz),Deutschland,Ausland,NA,basel,Gotthelf,europe,Germany
2008-2,Zuzug,2008,2,Schweizer,W,1,Schweiz,Schweiz,BL,NA,Schweiz,Schweiz,BS,Hirzbrunnen,switzerland,Basel-Landschaft,basel,Hirzbrunnen
2008-2,Wegzug,2008,2,Schweizer,M,1,Schweiz,Schweiz,BS,Bachletten,Schweiz,Schweiz,AG,NA,basel,Bachletten,switzerland,Aargau
2008-2,Wegzug,2008,2,Schweizer,M,1,Schweiz,Schweiz,BS,Matthäus,Schweiz,Schweiz,ZH,NA,basel,Matthäus,switzerland,Zürich
2008-2,Wegzug,2008,2,Schweizer,W,1,Schweiz,Schweiz,BS,St. Alban,Schweiz,Schweiz,BL,NA,basel,St. Alban,switzerland,Basel-Landschaft
2008-2,Wegzug,2008,2,Ausländer,W,1,Schweiz,Schweiz,BS,Matthäus,NA,NA,NA,NA,basel,Matthäus,NA,NA
2008-2,Wegzug,2008,2,Schweizer,M,2,Schweiz,Schweiz,BS,Breite,Europa (ohne Schweiz),Schweden,Ausland,NA,basel,Breite,europe,Sweden
2008-2,Wegzug,2008,2,Schweizer,W,2,Schweiz,Schweiz,BS,Gundeldingen,Schweiz,Schweiz,BL,NA,basel,Gundeldingen,switzerland,Basel-Landschaft
2008-2,Zuzug,2008,2,Ausländer,W,2,Schweiz,Schweiz,ZH,NA,Schweiz,Schweiz,BS,St. Johann,switzerland,Zürich,basel,St. Johann
2008-2,Zuzug,2008,2,Schweizer,M,2,Schweiz,Schweiz,BE,NA,Schweiz,Schweiz,BS,Hirzbrunnen,switzerland,Bern,basel,Hirzbrunnen
2008-2,Zuzug,2008,2,Ausländer,W,2,Afrika,Eritrea,NA,NA,Schweiz,Schweiz,BS,Gundeldingen,world,Eritrea,basel,Gundeldingen
2008-2,Zuzug,2008,2,Ausländer,W,2,Europa (ohne Schweiz),Slowakische Republik,NA,NA,Schweiz,Schweiz,BS,Clara,europe,Slovakia,basel,Clara
