Wanderungstyp,Jahr,Monat,Staatsangehoerigkeit,Geschlecht,Alter,VonKontinent,VonLand,VonKanton,VonWohnviertel,NachKontinent,NachLand,NachKanton,NachWohnviertel,Jahr_Monat
Wegzug,2002,8,Ausländer,M,0,Schweiz,Schweiz,BS,Riehen,unbekannt,NA,NA,NA,2002-8
Zuzug,2002,8,Schweizer,M,0,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Riehen,2002-8
Zuzug,2002,8,Ausländer,M,0,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,St. Johann,2002-8
Wegzug,2002,8,Schweizer,W,0,Schweiz,Schweiz,BS,Am Ring,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,M,0,Schweiz,Schweiz,BS,Kleinhüningen,unbekannt,NA,NA,NA,2002-8
Zuzug,2002,8,Ausländer,M,0,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Wettstein,2002-8
Zuzug,2002,8,Ausländer,M,0,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,Iselin,2002-8
Zuzug,2002,8,Schweizer,W,0,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,St. Johann,2002-8
Zuzug,2002,8,Ausländer,M,0,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Gotthelf,2002-8
Zuzug,2002,8,Ausländer,W,0,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Kleinhüningen,2002-8
Zuzug,2002,8,Ausländer,M,0,Lateinamerika und Karibik,NA,NA,NA,Schweiz,Schweiz,BS,Riehen,2002-8
Zuzug,2002,8,Schweizer,W,0,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Hirzbrunnen,2002-8
Wegzug,2002,8,Ausländer,W,0,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Ausländer,W,0,Schweiz,Schweiz,BS,St. Alban,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,M,1,Schweiz,Schweiz,BS,Riehen,unbekannt,NA,NA,NA,2002-8
Zuzug,2002,8,Ausländer,M,1,Nordamerika,NA,NA,NA,Schweiz,Schweiz,BS,St. Alban,2002-8
Zuzug,2002,8,Ausländer,W,1,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Gotthelf,2002-8
Zuzug,2002,8,Ausländer,W,1,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Riehen,2002-8
Zuzug,2002,8,Ausländer,W,1,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,Am Ring,2002-8
Zuzug,2002,8,Ausländer,M,1,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Matthäus,2002-8
Zuzug,2002,8,Ausländer,M,1,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,St. Johann,2002-8
Zuzug,2002,8,Schweizer,W,1,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Iselin,2002-8
Zuzug,2002,8,Ausländer,M,1,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Gundeldingen,2002-8
Zuzug,2002,8,Schweizer,W,1,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,St. Alban,2002-8
Wegzug,2002,8,Schweizer,W,1,Schweiz,Schweiz,BS,St. Johann,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Ausländer,W,1,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,M,1,Schweiz,Schweiz,BS,Riehen,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,M,1,Schweiz,Schweiz,BS,Riehen,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Ausländer,M,2,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,M,2,Schweiz,Schweiz,BS,Riehen,unbekannt,NA,NA,NA,2002-8
Zuzug,2002,8,Schweizer,M,2,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Gotthelf,2002-8
Zuzug,2002,8,Ausländer,M,2,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Matthäus,2002-8
Zuzug,2002,8,Ausländer,M,2,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Bachletten,2002-8
Zuzug,2002,8,Ausländer,W,2,Asien,NA,NA,NA,Schweiz,Schweiz,BS,Am Ring,2002-8
Zuzug,2002,8,Ausländer,M,2,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,Iselin,2002-8
Wegzug,2002,8,Schweizer,M,2,Schweiz,Schweiz,BS,Breite,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Ausländer,W,2,Schweiz,Schweiz,BS,Matthäus,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,W,2,Schweiz,Schweiz,BS,Gotthelf,unbekannt,NA,NA,NA,2002-8
Zuzug,2002,8,Schweizer,M,2,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Clara,2002-8
Zuzug,2002,8,Schweizer,M,2,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Iselin,2002-8
Zuzug,2002,8,Schweizer,W,2,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Wettstein,2002-8
Zuzug,2002,8,Schweizer,M,2,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,St. Johann,2002-8
Zuzug,2002,8,Ausländer,W,2,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Iselin,2002-8
Zuzug,2002,8,Schweizer,M,2,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Hirzbrunnen,2002-8
Zuzug,2002,8,Schweizer,W,2,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Riehen,2002-8
Wegzug,2002,8,Ausländer,M,2,Schweiz,Schweiz,BS,Klybeck,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,W,2,Schweiz,Schweiz,BS,St. Johann,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Ausländer,W,2,Schweiz,Schweiz,BS,Am Ring,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Ausländer,W,2,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,M,2,Schweiz,Schweiz,BS,Iselin,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,W,2,Schweiz,Schweiz,BS,Bruderholz,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,W,3,Schweiz,Schweiz,BS,Iselin,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,W,3,Schweiz,Schweiz,BS,St. Alban,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,W,3,Schweiz,Schweiz,BS,Am Ring,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Ausländer,M,3,Schweiz,Schweiz,BS,Am Ring,unbekannt,NA,NA,NA,2002-8
Zuzug,2002,8,Ausländer,W,3,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,St. Johann,2002-8
Zuzug,2002,8,Ausländer,W,3,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,Gundeldingen,2002-8
Wegzug,2002,8,Ausländer,W,3,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,M,3,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Ausländer,M,3,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Ausländer,M,3,Schweiz,Schweiz,BS,Riehen,unbekannt,NA,NA,NA,2002-8
Zuzug,2002,8,Ausländer,M,3,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Am Ring,2002-8
Zuzug,2002,8,Ausländer,M,3,Asien,NA,NA,NA,Schweiz,Schweiz,BS,Am Ring,2002-8
Zuzug,2002,8,Schweizer,M,3,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Iselin,2002-8
Zuzug,2002,8,Ausländer,M,3,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Matthäus,2002-8
Zuzug,2002,8,Schweizer,M,3,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Riehen,2002-8
Zuzug,2002,8,Ausländer,W,3,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Gotthelf,2002-8
Wegzug,2002,8,Ausländer,M,3,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Ausländer,W,3,Schweiz,Schweiz,BS,Bachletten,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Ausländer,W,3,Schweiz,Schweiz,BS,Iselin,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Ausländer,W,3,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2002-8
Zuzug,2002,8,Schweizer,M,3,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Riehen,2002-8
Wegzug,2002,8,Ausländer,W,3,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2002-8
Zuzug,2002,8,Schweizer,M,3,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Riehen,2002-8
Wegzug,2002,8,Schweizer,M,4,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,W,4,Schweiz,Schweiz,BS,St. Johann,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Ausländer,M,4,Schweiz,Schweiz,BS,Matthäus,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,M,4,Schweiz,Schweiz,BS,Gundeldingen,unbekannt,NA,NA,NA,2002-8
Wegzug,2002,8,Schweizer,M,4,Schweiz,Schweiz,BS,Riehen,unbekannt,NA,NA,NA,2002-8
Zuzug,2002,8,Ausländer,W,4,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,St. Alban,2002-8
Zuzug,2002,8,Schweizer,M,4,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Riehen,2002-8
Zuzug,2002,8,Ausländer,W,4,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,St. Johann,2002-8
Zuzug,2002,8,Ausländer,W,4,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Gotthelf,2002-8
Zuzug,2002,8,Ausländer,W,4,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Gundeldingen,2002-8
Zuzug,2002,8,Ausländer,M,4,Europa (ohne Schweiz),NA,NA,NA,Schweiz,Schweiz,BS,Iselin,2002-8
Zuzug,2002,8,Ausländer,M,4,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Matthäus,2002-8
Zuzug,2002,8,Schweizer,W,4,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,St. Alban,2002-8
Zuzug,2002,8,Ausländer,W,4,Unbekannt,NA,NA,NA,Schweiz,Schweiz,BS,Gundeldingen,2002-8
Zuzug,2002,8,Ausländer,M,4,Asien,NA,NA,NA,Schweiz,Schweiz,BS,Am Ring,2002-8
Zuzug,2002,8,Ausländer,W,4,Schweiz,NA,NA,NA,Schweiz,Schweiz,BS,Iselin,2002-8
